"Ptime","Pload","Vtime","Vload","yDelta"
242.34,0.49983,242.40601,0.26728,0.23255
242.418,0.2738,242.42999,0.26062,0.01318
261.186,0.41974,261.26401,0.37771,0.04203
296.508,0.72516,296.586,0.60341,0.12175
298.87799,0.60273,298.96799,0.1972,0.40553
298.98001,0.21737,298.992,0.19985,0.01752
355.104,0.31486,355.15799,0.00197,0.31289
355.17599,0.02173,355.194,0,0.04182
490.48199,0.28651,490.548,0.25835,0.02816
537.07202,0.43016,537.17999,0.31592,0.11424
546.97198,0.33382,547.02002,0,0.34684
547.03802,0.01995,547.05603,0,0.04412
